Column1,postcode,address,lon,lat
330,5112,"Elizabeth Vale SA 5112, Australia",138.673985,-34.7325385
331,3192,"Cheltenham VIC 3192, Australia",145.0658766,-37.964155
332,5069,"St Peters SA 5069, Australia",138.6263585,-34.9078055
333,3216,"Highton VIC 3216, Australia",144.3139277,-38.1747227
334,6026,"Kingsley WA 6026, Australia",115.798936,-31.8042538
335,6065,"Hocking WA 6065, Australia",115.816684,-31.763241
336,2620,"New South Wales 2620, Australia",149.0123679,-35.631888
337,5070,"Payneham SA 5070, Australia",138.6413941,-34.8956922
338,2257,"Killcare Heights NSW 2257, Australia",151.3385191,-33.5220832
339,6156,"Willagee WA 6156, Australia",115.8018941,-32.0396369
340,4037,"Eatons Hill QLD 4037, Australia",152.9353024,-27.3392025
341,2712,"Berrigan NSW 2712, Australia",145.8023118,-35.7148531
342,3049,"Westmeadows VIC 3049, Australia",144.8896264,-37.6707522
343,3221,"Barrabool VIC 3221, Australia",144.1501922,-38.1636337
344,2590,"Cootamundra NSW 2590, Australia",147.9617144,-34.6546705
345,4558,"Kuluin QLD 4558, Australia",153.0795213,-26.6541595
346,2280,"Marks Point NSW 2280, Australia",151.6713386,-33.0223311
347,4212,"Helensvale QLD 4212, Australia",153.4036287,-27.7918539
348,3064,"Donnybrook VIC 3064, Australia",144.9391595,-37.5424079
349,3619,"3619 Australia Dr, Lexington Park, MD 20653, USA",-76.4685007,38.2584887
350,7011,"Berriedale TAS 7011, Australia",147.2330077,-42.7954134
351,5018,"Outer Harbor SA 5018, Australia",138.4937213,-34.7773088
352,3717,"Flowerdale VIC 3717, Australia",145.402868,-37.3030137
353,3373,"Lake Goldsmith VIC 3373, Australia",143.3474304,-37.4528631
354,3020,"Sunshine VIC 3020, Australia",144.823628,-37.7791149
355,3995,"Harmers Haven VIC 3995, Australia",145.6023644,-38.6238593
356,3695,"Sandy Creek VIC 3695, Australia",147.1238691,-36.3055342
357,4068,"Taringa QLD 4068, Australia",152.973555,-27.5017624
358,4226,"Merrimac QLD 4226, Australia",153.3859379,-28.0648601
359,4165,"Redland Bay QLD 4165, Australia",153.2999867,-27.5833177
360,2731,"Womboota NSW 2731, Australia",144.6533747,-35.874342
361,2208,"Kingsgrove NSW 2208, Australia",151.0995447,-33.9379361
362,2160,"Merrylands NSW 2160, Australia",150.9831038,-33.8365794
363,4505,"Burpengary East QLD 4505, Australia",152.9727474,-27.1544509
364,2770,"Blackett NSW 2770, Australia",150.8086082,-33.7610185
365,5142,"Uraidla SA 5142, Australia",138.7417347,-34.9599982
366,4214,"Parkwood QLD 4214, Australia",153.3623524,-27.9623616
367,7140,"Tasmania 7140, Australia",146.5885592,-42.5170721
368,3355,"Mitchell Park VIC 3355, Australia",143.7911684,-37.5089149
369,2745,"Regentville NSW 2745, Australia",150.6517354,-33.8479652
370,6010,"Karrakatta WA 6010, Australia",115.7752703,-31.9685608
371,2785,"Blackheath NSW 2785, Australia",150.2458144,-33.7110343
372,4508,"Deception Bay QLD 4508, Australia",153.0206446,-27.1859323
373,2130,"Summer Hill NSW 2130, Australia",151.1359504,-33.8922971
374,7008,"New Town TAS 7008, Australia",147.2858972,-42.8667403
375,5291,"Carpenter Rocks SA 5291, Australia",140.7091777,-37.9551815
376,2447,"Congarinni NSW 2447, Australia",152.8735247,-30.740808
377,2347,"Cobbadah NSW 2347, Australia",150.4892292,-30.3053875
378,2256,"Patonga NSW 2256, Australia",151.2568777,-33.5117779
379,2259,"Hamlyn Terrace NSW 2259, Australia",151.3501856,-33.2059456
380,6016,"Mount Hawthorn WA 6016, Australia",115.8373885,-31.920607
381,2329,"New South Wales 2329, Australia",150.1184797,-32.0459832
382,2533,"Kiama Downs NSW 2533, Australia",150.7795452,-34.6635132
383,4114,"Kingston QLD 4114, Australia",153.1030766,-27.6372491
384,4554,"Eudlo QLD 4554, Australia",152.9617842,-26.7280729
385,4211,"Pacific Pines QLD 4211, Australia",153.3222261,-27.995579
386,4573,"Mount Coolum QLD 4573, Australia",153.0879644,-26.5394151
387,4509,"Mango Hill QLD 4509, Australia",153.0265315,-27.2360306
388,3137,"Kilsyth VIC 3137, Australia",145.3198788,-37.8253798
389,5125,"Golden Grove SA 5125, Australia",138.7241621,-34.7715516
390,3300,"Hamilton VIC 3300, Australia",142.0003599,-37.783845
